id sire dam hwpmgs bwt
3914169151761 3869133161426 3869130921519 391606692 279
3914172321147 3872139432016 3872136301322 391554722 270
3914175491128 3875142571519 3875139481925 391454752 249
3914181822004 3881136322039 3881148911307 391404811 263
3914181841109 3881136311654 3881151161002 391455812 220
3914184921302 3884145831034 3884145801516 391505841 256
3917175401818 3875145831901 3875130971029 391855752 231
3917175411840 3875142571519 3875133121823 391756752 245
3917175411841 3875142571519 3875133121823 391754752 243
3917175421812 3875136351437 3875133171742 391854752 242
3917175481739 3875145831901 3875139442138 391704751 254
3917178551329 3878139411027 3878130871529 391855782 256
3917178571838 3878145701001 3878136302119 391755782 223
3917178661332 3878136351457 3878145701003 391704781 259
3917181741410 3881148911309 3881139451156 391754812 223
3917181741416 3881136311654 3881139451156 391804811 298
3917181831901 3881148982011 3881151101703 391855812 214
3917184921315 3884145831034 3884145801516 391955842 223
3917184951008 3884154262101 3884136351479 391754842 218
3917184981811 3884145831034 3884151162109 391755842 209
3917184991409 3884145831034 3884145711308 391804841 278
3920175441845 3875133201402 3875136251637 392156752 237
3920175481753 3875133201402 3875139442138 392106752 240
3920178641139 3878136351457 3878142581021 392054782 238
3920178661355 3878136351457 3878145701003 392204781 258
3920181741432 3881136311654 3881139451156 392254812 226
3920181842142 3881151161701 3881151231702 392156812 252
3920184871414 3884151181613 3884145761825 392056842 257
3920184891608 3884142621731 3884151111703 392055842 238
3920184951024 3884145831034 3884136351479 392203841 274
3920184961526 3884145831034 3884145831033 392104841 254
3920184961529 3884154361601 3884145831033 392203841 261
3920184981028 3884136322053 3884136351474 392155842 237
3920187142002 3887142681156 3887154281106 392104871 264
3920187181702 3887142681156 3887151211620 392256872 198
3920187191602 3887145831047 3887151132119 392154872 209
3920187201903 3887142681156 3887154251206 392156872 251
3920187211405 3887145751439 3887151121229 392154872 231
3920187211410 3887154331612 3887151121229 392254872 230
3920190292003 3890151161123 3890154361217 392154902 219
3920190361004 3890151182037 3890145732119 392254902 231
3920190381908 3890154281913 3890154381521 392203901 250
3923178551477 3878136351457 3878130881357 392507782 224
3923178581452 3878142611517 3878136322029 392306781 283
3923178671753 3878136351457 3878145741607 392507782 250
3923178682026 3878142642124 3878148901801 392407782 249
3923181791624 3881148982011 3881145711415 392356812 255
3923181791906 3881148982011 3881145722002 392406811 274
3923184891634 3884136331220 3884151111703 392554842 250
3923187101125 3887151131917 3887145791014 392554872 266
3923187131715 3887151131917 3887151191019 392355872 262
3923187131805 3887151131917 3887151191619 392354872 229
3923187191519 3887151131917 3887151121022 392354872 249
3923187211720 3887151131917 3887151221010 392556872 226
3923187241806 3887145771920 3887151231126 392305871 311
3923190272002 3890142681159 3890154361617 392556902 232
3923190301815 3890142681159 3890154301921 392556902 239
3923190341301 3890157511312 3890151121033 392555902 209
3923190341607 3890157511312 3890151201719 392555902 222
3923190361213 3890154281913 3890145831053 392505901 260
3923190361214 3890142681159 3890145831053 392505901 263
3923193451010 3893151131942 3893145751965 392555932 223
3923193541005 3893151161744 3893145701175 392405931 237
3926181721073 3881139512030 3881136311569 392707812 263
3926181812051 3881148982011 3881148861705 392707812 248
3926184851439 3884142621731 3884145731817 392706841 282
3926184851941 3884145831034 3884151121909 392756842 223
3926184891015 3884145831034 3884145791006 392754842 234
